Course,Number,Section,Title,A,B,C,D,F,P,F(P),W,Instructor,Honors,CourseId,Year,NameProcessed
ACCT,3220,2,Accounting Information Systems,0.25,0.47,0.22,0.06,0.0,0.0,0.0,0.0,philip maiberger,False,ACCT-3220,2018,True
ACCT,3220,3,Accounting Information Systems,0.06,0.23,0.48,0.06,0.03,0.0,0.0,0.13,philip maiberger,False,ACCT-3220,2018,True
ACCT,4040,1,Individual Taxation,0.74,0.17,0.06,0.03,0.0,0.0,0.0,0.0,sarah martin,False,ACCT-4040,2018,True
ACCT,4040,2,Individual Taxation,0.88,0.1,0.03,0.0,0.0,0.0,0.0,0.0,sarah martin,False,ACCT-4040,2018,True
ACCT,4040,3,Individual Taxation,0.58,0.3,0.0,0.1,0.03,0.0,0.0,0.0,lisa whea birtwistle,False,ACCT-4040,2018,True
ACCT,4040,4,Individual Taxation,0.24,0.38,0.19,0.08,0.08,0.0,0.0,0.03,lisa whea birtwistle,False,ACCT-4040,2018,True
ACCT,4100,1,Reporting and Mgmt Control Sys,0.28,0.38,0.33,0.0,0.0,0.0,0.0,0.0,robin radtke,False,ACCT-4100,2018,True
ACCT,4100,2,Reporting and Mgmt Control Sys,0.3,0.53,0.15,0.0,0.0,0.0,0.0,0.03,robin radtke,False,ACCT-4100,2018,True
ACCT,4150,1,Auditing,0.15,0.49,0.28,0.05,0.03,0.0,0.0,0.0,carl hollingsworth,False,ACCT-4150,2018,True
ACCT,4150,2,Auditing,0.17,0.33,0.19,0.17,0.03,0.0,0.0,0.11,carl hollingsworth,False,ACCT-4150,2018,True
ACCT,8520,1,Fin Acct Theory/Res,0.43,0.54,0.03,0.0,0.0,0.0,0.0,0.0,ralph edward welton,False,ACCT-8520,2018,True
ACCT,8520,2,Fin Acct Theory/Res,0.28,0.59,0.13,0.0,0.0,0.0,0.0,0.0,ralph edward welton,False,ACCT-8520,2018,True
ACCT,8540,1,Prof Responsibility,0.47,0.5,0.03,0.0,0.0,0.0,0.0,0.0,suzanne pearse,False,ACCT-8540,2018,True
ACCT,8540,2,Prof Responsibility,0.28,0.67,0.06,0.0,0.0,0.0,0.0,0.0,suzanne pearse,False,ACCT-8540,2018,True
ACCT,8540,3,Prof Responsibility,0.5,0.42,0.08,0.0,0.0,0.0,0.0,0.0,suzanne pearse,False,ACCT-8540,2018,True
ACCT,8620,1,Financial Auditing,0.78,0.22,0.0,0.0,0.0,0.0,0.0,0.0,nancy lee harp,False,ACCT-8620,2018,True
ACCT,8620,2,Financial Auditing,0.71,0.29,0.0,0.0,0.0,0.0,0.0,0.0,nancy lee harp,False,ACCT-8620,2018,True
ACCT,8710,1,Corporate Taxation,0.31,0.64,0.06,0.0,0.0,0.0,0.0,0.0,derek dalton,False,ACCT-8710,2018,True
ACCT,8710,2,Corporate Taxation,0.15,0.8,0.05,0.0,0.0,0.0,0.0,0.0,derek dalton,False,ACCT-8710,2018,True
ACCT,8710,3,Corporate Taxation,0.28,0.64,0.08,0.0,0.0,0.0,0.0,0.0,derek dalton,False,ACCT-8710,2018,True
ACCT,8730,1,Intl/Spec Tax Topic,0.43,0.47,0.11,0.0,0.0,0.0,0.0,0.0,kathr kisska-schulze,False,ACCT-8730,2018,True
ACCT,8740,1,Tax Aspects of Finan Planning,0.42,0.53,0.04,0.0,0.0,0.0,0.0,0.0,judson jahn,False,ACCT-8740,2018,True
AFLS,2000,1,Agric For Domestic Study Tour,0.0,0.0,0.0,0.0,0.0,0.9,0.05,0.05,jean bertrand,False,AFLS-2000,2018,True
AGED,1000,1,Orientation & Field Experience,0.74,0.05,0.0,0.0,0.11,0.0,0.0,0.11,philip fravel,False,AGED-1000,2018,True
AGED,2030,1,Teaching Agriscience,0.33,0.56,0.06,0.0,0.06,0.0,0.0,0.0,catherin dibenedetto,False,AGED-2030,2018,True
AGED,4150,1,Leadership of Vol,0.71,0.24,0.05,0.0,0.0,0.0,0.0,0.0,kevin layfield,False,AGED-4150,2018,True
AGED,4160,1,Ethics and Issues,0.96,0.04,0.0,0.0,0.0,0.0,0.0,0.0, kirby player,False,AGED-4160,2018,True
AGED,4250,1,Teaching Ag Mechs,0.82,0.18,0.0,0.0,0.0,0.0,0.0,0.0,philip fravel,False,AGED-4250,2018,True
AGM,2050,1,Prin of Fabrication,0.32,0.53,0.09,0.04,0.0,0.0,0.0,0.02,hunter massey,False,AGM-2050,2018,True
AGM,2060,1,Machinery Mgt,0.34,0.44,0.16,0.03,0.0,0.0,0.0,0.03,hunter massey,False,AGM-2060,2018,True
AGM,2200,1,Calc for Mechanized Agricult,0.57,0.33,0.05,0.0,0.0,0.0,0.0,0.05,young han,False,AGM-2200,2018,True
