Course,Number,Section,Title,A,B,C,D,F,P,F(P),W,Instructor,Honors,CourseId,Year
ANTH,3250,1,The Anthropology of Food,0.33,0.24,0.14,0.0,0.0,0.0,0.0,0.29,yi wu,False,ANTH-3250,2019
ANTH,3310,1,Archaeology,0.71,0.26,0.03,0.0,0.0,0.0,0.0,0.0,david markus,False,ANTH-3310,2019
ANTH,4040,1,Anthropological Theories,0.27,0.55,0.18,0.0,0.0,0.0,0.0,0.0,john coggeshall,False,ANTH-4040,2019
ANTH,4800,1,Business Anthropology,0.77,0.23,0.0,0.0,0.0,0.0,0.0,0.0,melissa vogel,False,ANTH-4800,2019
ARCH,1510,1,Arch Communication,0.36,0.5,0.07,0.0,0.0,0.0,0.0,0.07,sal hambright-belue,False,ARCH-1510,2019
ARCH,1510,2,Arch Communication,0.31,0.44,0.25,0.0,0.0,0.0,0.0,0.0,sal hambright-belue,False,ARCH-1510,2019
ARCH,1510,2,Arch Communication,0.31,0.44,0.25,0.0,0.0,0.0,0.0,0.0,robert silance,False,ARCH-1510,2019
ARCH,1510,3,Arch Communication,0.57,0.21,0.0,0.07,0.07,0.0,0.0,0.07,sal hambright-belue,False,ARCH-1510,2019
ARCH,1510,3,Arch Communication,0.57,0.21,0.0,0.07,0.07,0.0,0.0,0.07,clarissa mendez,False,ARCH-1510,2019
ARCH,1510,4,Arch Communication,0.2,0.6,0.13,0.07,0.0,0.0,0.0,0.0,george schafer,False,ARCH-1510,2019
ARCH,1510,4,Arch Communication,0.2,0.6,0.13,0.07,0.0,0.0,0.0,0.0,sal hambright-belue,False,ARCH-1510,2019
ARCH,1510,5,Arch Communication,0.4,0.4,0.07,0.07,0.0,0.0,0.0,0.07,sal hambright-belue,False,ARCH-1510,2019
ARCH,1510,5,Arch Communication,0.4,0.4,0.07,0.07,0.0,0.0,0.0,0.07,berrin terim,False,ARCH-1510,2019
ARCH,1510,6,Arch Communication,0.71,0.21,0.07,0.0,0.0,0.0,0.0,0.0,sal hambright-belue,False,ARCH-1510,2019
ARCH,2520,1,Arch Foundations II,0.36,0.57,0.07,0.0,0.0,0.0,0.0,0.0,timothy burl brown,False,ARCH-2520,2019
ARCH,2520,1,Arch Foundations II,0.36,0.57,0.07,0.0,0.0,0.0,0.0,0.0,brandon george pass,False,ARCH-2520,2019
ARCH,2520,2,Arch Foundations II,0.33,0.42,0.25,0.0,0.0,0.0,0.0,0.0,clarissa mendez,False,ARCH-2520,2019
ARCH,2520,2,Arch Foundations II,0.33,0.42,0.25,0.0,0.0,0.0,0.0,0.0,timothy burl brown,False,ARCH-2520,2019
ARCH,2520,3,Arch Foundations II,0.31,0.69,0.0,0.0,0.0,0.0,0.0,0.0,criss mills,False,ARCH-2520,2019
ARCH,2520,3,Arch Foundations II,0.31,0.69,0.0,0.0,0.0,0.0,0.0,0.0,timothy burl brown,False,ARCH-2520,2019
ARCH,2520,4,Arch Foundations II,0.64,0.36,0.0,0.0,0.0,0.0,0.0,0.0,robert bruhns,False,ARCH-2520,2019
ARCH,2520,4,Arch Foundations II,0.64,0.36,0.0,0.0,0.0,0.0,0.0,0.0,timothy burl brown,False,ARCH-2520,2019
ARCH,2520,5,Arch Foundations II,0.71,0.29,0.0,0.0,0.0,0.0,0.0,0.0,joseph choma,False,ARCH-2520,2019
ARCH,2520,5,Arch Foundations II,0.71,0.29,0.0,0.0,0.0,0.0,0.0,0.0,timothy burl brown,False,ARCH-2520,2019
ARCH,2520,6,Arch Foundations II,0.33,0.58,0.08,0.0,0.0,0.0,0.0,0.0,berrin terim,False,ARCH-2520,2019
ARCH,2520,6,Arch Foundations II,0.33,0.58,0.08,0.0,0.0,0.0,0.0,0.0,timothy burl brown,False,ARCH-2520,2019
ARCH,2700,1,Structures I,0.55,0.09,0.27,0.0,0.09,0.0,0.0,0.0,michael carl kleiss,False,ARCH-2700,2019
ARCH,2710,1,Structures II,0.46,0.42,0.08,0.0,0.0,0.0,0.0,0.04,dustin gra albright,False,ARCH-2710,2019
ARCH,3510,2,Studio Clemson,0.33,0.5,0.17,0.0,0.0,0.0,0.0,0.0,daniel nevi harding,False,ARCH-3510,2019
ARCH,3540,1,Studio Barcelona,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,miguel roldan,False,ARCH-3540,2019
ARCH,3540,1,Studio Barcelona,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,ulrike ann-so heine,False,ARCH-3540,2019
ARCH,4050,1,American Arch Styles 1650-1950,0.63,0.25,0.06,0.0,0.06,0.0,0.0,0.0,robert bruhns,False,ARCH-4050,2019
ARCH,4120,2,History Research,0.92,0.08,0.0,0.0,0.0,0.0,0.0,0.0,henrique houayek,False,ARCH-4120,2019
ARCH,4120,2,History Research,0.92,0.08,0.0,0.0,0.0,0.0,0.0,0.0,ulrike ann-so heine,False,ARCH-4120,2019
ARCH,4140,2,Design Seminar,0.92,0.08,0.0,0.0,0.0,0.0,0.0,0.0,ulrike ann-so heine,False,ARCH-4140,2019
ARCH,4140,2,Design Seminar,0.92,0.08,0.0,0.0,0.0,0.0,0.0,0.0,miguel roldan,False,ARCH-4140,2019
ARCH,4210,1,Arch Seminar,0.27,0.73,0.0,0.0,0.0,0.0,0.0,0.0,raymond thadde huff,False,ARCH-4210,2019
ARCH,4290,1,Architectural Graphics,0.69,0.23,0.08,0.0,0.0,0.0,0.0,0.0,ashley jennings,False,ARCH-4290,2019
ARCH,4520,1,Synthesis Studio,0.0,0.67,0.25,0.08,0.0,0.0,0.0,0.0,david lee,False,ARCH-4520,2019
ARCH,4520,1,Synthesis Studio,0.0,0.67,0.25,0.08,0.0,0.0,0.0,0.0,ulrike ann-so heine,False,ARCH-4520,2019
ARCH,4520,1,Synthesis Studio,0.0,0.67,0.25,0.08,0.0,0.0,0.0,0.0, franco santa cruz,False,ARCH-4520,2019
ARCH,4520,1,Synthesis Studio,0.0,0.67,0.25,0.08,0.0,0.0,0.0,0.0,george schafer,False,ARCH-4520,2019
ARCH,4520,1,Synthesis Studio,0.0,0.67,0.25,0.08,0.0,0.0,0.0,0.0,timothy burl brown,False,ARCH-4520,2019
ARCH,4520,2,Synthesis Studio,0.0,0.67,0.33,0.0,0.0,0.0,0.0,0.0,david lee,False,ARCH-4520,2019
ARCH,4520,2,Synthesis Studio,0.0,0.67,0.33,0.0,0.0,0.0,0.0,0.0,timothy burl brown,False,ARCH-4520,2019
